Date,plastic_sum,Plastic_c,Image,Caption,Labels
2020-06-01,1500,1500,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,June 2020,"1,500  "
2020-07-01,7400,8900,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,July 2020,"8,900  "
2020-08-01,8350,17250,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,August 2020,"17,250 "
2020-09-01,5331,22581,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,September 2020,"22,581 "
2020-10-01,15295,37876,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,October 2020,"37,876 "
2020-11-01,14786.16,52662.16,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,November 2020,"52,662 "
2020-12-01,17303.74,69965.9,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,December 2020,"69,966 "
2021-01-01,23556.15,93522.05,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,January 2021,"93,522 "
2021-02-01,23824.64,117346.69,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,February 2021,"117,347"
2021-03-01,37344.65,154691.34,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,March 2021,"154,691"
2021-04-01,67480.21,222171.55000000002,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,April 2021,"222,172"
2021-05-01,50518.5,272690.05,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,May 2021,"272,690"
2021-06-01,30889.15,303579.2,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,June 2021,"303,579"
2021-07-01,33230.76,336809.96,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,July 2021,"336,810"
2021-08-01,41142.39,377952.35000000003,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,August 2021,"377,952"
2021-09-01,34624.67,412577.02,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,September 2021,"412,577"
2021-10-01,39111.34,451688.36,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,October 2021,"451,688"
2021-11-01,46476.48,498164.84,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,November 2021,"498,165"
2021-12-01,46211.63,544376.47,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,December 2021,"544,376"
2022-01-01,42893.25,587269.72,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,January 2022,"587,270"
2022-02-01,41439.91,628709.63,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,February 2022,"628,710"
2022-03-01,48550.14,677259.77,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,March 2022,"677,260"
2022-04-01,41503.92,718763.6900000001,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,April 2022,"718,764"
2022-05-01,36346.53,755110.22,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,May 2022,"755,110"
2022-06-01,45668.75,800778.97,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,June 2022,"800,779"
2022-07-01,41534.24,842313.21,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,July 2022,"842,313"
2022-08-01,36426.77,878739.98,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,August 2022,"878,740"
2022-09-01,6257.81,884997.79,/Users/brewster/Documents/CCC/Data/ccc_500k_milestone/waterbottle.png,September 2022,"884,998"
